Lektion,Deutsch,Turkisch,Arabisch (العربية),Farsi (فارسی),Kurdisch (Kurmancî),Ukrainisch (Українська),Englisch,Beispiel Satz
1,die Herkunft (Sg.),"Köken, asıl",أصل / منشأ,اصالت / منشأ,Reha / Jêder,походження,origin,Viele Menschen in Metropolen haben eine multikulturelle Herkunft und sprechen mehrere Sprachen.
1,"das Motiv, -e","Motif, neden",دافع / سبب,انگیزه / دلیل,Sedem / Motîv,мотив,motive / reason,Das Motiv für seine Kündigung war der Wunsch nach einer besseren Work-Life-Balance.
1,entwerfen,Tasarlamak,يصمم / يخطط,طراحی کردن,Sêwirandin,проектувати,to design / draft,Die Architektin hat ein nachhaltiges Konzept für das neue Stadtviertel entworfen.
1,kommentieren,Yorum yapmak,يعلق على,تفسیر کردن,Şirove kirin,коментувати,to comment,"Die Presse weigerte sich, die privaten Angelegenheiten des Politikers zu kommentieren."
1,"die Alternative, -n",Alternatif,بديل,جایگزین,Alternatîf,альтернатива,alternative,Wir müssen eine umweltfreundliche Alternative zu Plastikverpackungen finden.
1,"die Aufzählung, -en","Sayma, sıralama",تعداد / حصر,فهرست / شمارش,Hejmartin / Rêzkirin,перелік,list / enumeration,"Eine kurze Aufzählung der wichtigsten Punkte hilft, die Übersicht zu behalten."
1,"die Einschränkung, -en",Kısıtlama,تقييد / تحديد,محدودیت,Sînorkirin,обмеження,restriction,Aufgrund der Baustelle gibt es massive Einschränkungen im Bahnverkehr.
1,"der Gegensatz, -¨e",Karşıtlık,تضاد / عكس,تضاد / مخالف,Dijberî,протилежність,contrast / opposite,Im Gegensatz zu früher sind Informationen heute überall und jederzeit verfügbar.
1,"der Geschmack, -¨er","Tat, zevk",ذوق / طعم,سلیقه / مزه,Tam / Çêjt,смак,taste,"Über Geschmack lässt sich streiten, da jeder Mensch andere Vorlieben hat."
1,denselben Geschmack haben,Aynı zevke sahip olmak,نفس الذوق,سلیقه مشابه,Heman tamê hebe,мати той самий смак,to have the same taste,"Es ist toll, dass mein bester Freund und ich fast immer denselben Geschmack haben."
1,"das Missverständnis, -se",Yanlış anlama,سوء تفاهم,سوءتفاهم,Şaşfêmkirin,непорозуміння,misunderstanding,Durch klare Kommunikation lassen sich viele unnötige Missverständnisse vermeiden.
1,"die Neuigkeit, -en","Haber, yenilik",خبر جديد,خبر تازه,Nûçe / Nûbûn,новина,news / novelty,"Ich habe eine spannende Neuigkeit für dich, die unsere Reiseplanung verändern könnte."
1,Neuigkeiten austauschen,Haberleşmek,تبادل الأخبار,تبادل اخبار,Nûçe guhertin,обмінюватися новинами,to exchange news,"Wir treffen uns heute Abend, um bei einem Kaffee gemütlich Neuigkeiten auszutauschen."
1,"die Umfrage, -n",Anket,استطلاع رأي,نظرسنجی,Lêpirsîn / Anket,опитування,survey / poll,Laut einer aktuellen Umfrage ist die Mehrheit der Bürger für mehr Umweltschutz.
1,anvertrauen,Güvenip söylemek,يأتمن / يفشي سراً,اعتماد کردن,Spartin / Bawer kirin,довіряти,to entrust / confide,"Ich würde ihm jederzeit meine tiefsten Geheimnisse anvertrauen, weil er sehr diskret ist."
